Stage	Dialogue Box	Dialogue Key	What is being said 	Required action	What happens in the game/Action
Terraforming	CAT	ratio bars	Perfect. These are the ratio bars that contribute to your overall terraforming progress.		Highlight ratio bars
Terraforming	CAT	target building count	This shows your target building count! Try to build as close to this as you can.		Point at the golden bar
Terraforming	Console	task press p	Task: press the P key.		Clear Console first
Terraforming	CAT	press p	Press P to display more details.		
Terraforming	CAT	terraforming progress	You can see your overall terraforming progress here. Press P to disable this menu again.		
Terraforming	Console	task click building	Task: click a building to open the demolition menu.		Clear Console first
Terraforming	CAT	demolition menu	If you need less of one of your terraforming buildings, clicking on it will give you options for disabling or demolishing it. Try it.		
Terraforming	CAT	enabling buildings	If you merely disable a building, you can re-enable it from this menu later.		
Terraforming	CAT	good luck	That should be all you need to know from me. Good luck and happy terraforming!		
Terraforming	CAT	good luck	C.A.T. out. = ^__^ =		Resume clock
Terraforming	Console	cat closed	C.A.T.exe has closed.		Clear console first
Combat	Console	launch dog	Warning! Hostile alien activity detected.~Launching D.O.G.exe . . .		Triggered at night time; clear Console first
Combat	DOG	dog launched	DEFENCE ORGANISATION GUIDE ONLINE!		
Combat	DOG	aliens spawned	Listen up soldier! Those B.U.G.s look angry.		3 enemies spawn here
Combat	Console	task build turret	Task: build a <turret>.		Clear console first
Combat	DOG	build turret	Build turrets to defend your base.	Build turrets	Turret icons appear and are buildable
Combat	DOG	protect tower	You must protect the terraforming tower at all costs! If that gets destroyed it's <game over>.		Highlight Terraforming Tower
Combat	Console	task shoot	Weapon systems online.~Task: shoot with your on-board laser cannon.		Clear console first
Combat	DOG	shoot	You also have an on-board laser cannon to defend yourself with.		
Combat	Game	shoot	Press space to shoot.	Shoot	Image of space bar + to shoot
Combat	DOG	heal at terraforming tower	If you wanna patch yourself up head to the terraforming tower.		
Combat	Console	task heal	Task: heal yourself at the terraforming tower.		Clear console first
Combat	Game	heal	Press E to heal.	Press E in range of the terraforming tower	Image of "E" above terraforming tower
Combat	DOG	store disperse	At the end of each wave, you need to decide whether points gained should to be stored for better point accumulation, or dispersed to terraform the planet.		
Combat	DOG	good luck	That's all you need to know. Good luck out there soldier! Don't die!		
Combat	DOG	good luck	D.O.G. OUT! U???U		
Combat	Console	dog closed	D.O.G.exe has closed.		
Finished Tutorial	Game	finished tutorial	This is the end of the tutorial. You are on your own from here. Good luck!		Note: this is a texts that appear without a speaker (doesn't use dialogue box)
Skipped Tutorial	Console	system check	Commencing system check.~AI unit: online.~Movement system: online and calibrated.~Vitals: green.~Chronometer: online.~GPS: online.~Inventory: online.		
Skipped Tutorial	Console	begin game	Construction system: online.~External environment scanner: online.~Construction system: enabled.~All systems are online.~Task: terraform this planet for human habitation. Begin.		
	#Notes 				
	#Notes 	Technical	If the value of the Dialogue Box column starts with a #, it will be treated as a comment and ignored. The first line with the column headings will also be ignored and reading of this file's contents will begin from the second line.		
	#Notes 	Technical	The values in the columns Dialogue Box need to be character for character identical to the ID of the dialogue box that you want the dialogue to appear in.		
	#Notes 	Technical	To retrieve a dialogue set in-code, you need to retrieve it with the exact value listed in the Dialogue Key column.		
	#Notes 	Technical	If multiple lines of dialogue are listed with the same Dialogue Box ID and Dialogue Key, they'll be added to the same dialogue set and displayed in their dialogue box one after the other as the player indicates they've read each (except for the Console).		
	#Notes 	Technical	All dialogue is continued by pressing button [z]		
	#Notes 	Technical	If dialogue needs to be separated into multiple lines, denote the line break with a ~.		
	#Notes 	Technical	Special characters are used to denote a section of dialogue as being coloured differently to the default for a given dialogue box.		
	#Notes 	Formatting	All lines of dialogue should have the speaker's name		
	#Notes 	Formatting	Please order dialogue here in order of when it will be called just to make it easier to understand for the humans reading it.		
	#Notes 	TODO	Juice: Typewriter FX		
